case,case_id,found_by_crawl,scraped_rows,docs_with_link,docs_on_gcs,confirmations_with_link,confirmations_on_gcs,not_on_gcs_examples
case_84,606703/2026,0,10,10,10,10,10,
case_107,031235/2026,0,4,4,4,4,4,
case_216,788000/2025,326,332,332,332,332,332,
case_379,154020/2025,0,7,7,7,7,7,
case_499,160040/2024,8,9,9,9,9,9,
case_530,620383/2024,0,36,36,36,36,36,
case_647,162450/2023,0,9,9,9,9,9,
case_726,450898/2025,0,28,28,28,28,28,
case_784,805896/2023,0,576,576,576,576,576,
case_788,513826/2023,88,95,95,95,95,95,
case_1293,000354-2021,770,770,769,769,769,769,
case_1923,Not Assigned,0,9,9,9,9,9,
case_3053,60143/2021,653,653,652,652,653,653,
case_4314,801990/2023,0,16,16,16,16,16,
case_4397,608847/2017,121,121,120,120,120,120,
case_4419,Not Assigned,0,1,1,1,1,1,
case_4648,600687/2010,0,7,7,7,7,7,
case_5003,157086/2018,0,3,3,3,3,3,
case_5880,CA 26-01028,4,4,3,3,3,3,
case_6613,190064/2025,773,773,769,769,769,769,
case_7065,EF2019-00000067,106,106,106,106,4,4,
case_7320,154611/2022,0,3,3,3,3,3,
case_7415,159354/2025,0,3,3,3,3,3,
case_7437,159491/2025,0,3,3,3,3,3,
case_7702,190082/2023,0,7,7,7,7,7,
case_8309,155969/2016,163,163,160,160,160,160,
case_8319,158791/2013,204,204,203,203,203,203,
case_11726,CV-141789-09/QU,1,1,1,1,0,0,
case_11862,190017/2026,36,37,37,37,37,37,
case_13285,CV-703228-22/RI,25,25,25,25,24,24,
case_13422,CV-706504-20/QU,3,3,3,3,2,2,
case_14035,508411/2024,59,59,58,58,58,58,
case_14045,512440/2023,0,51,51,51,51,51,
case_14193,708397/2023,20,20,19,19,19,19,
case_14196,708680/2025,36,36,36,36,35,35,
case_14205,713366/2026,16,16,16,16,15,15,
case_14208,71544/2023,231,231,231,231,230,230,
case_14246,805305/2021E,60,60,60,60,57,57,
case_14252,806504/2022,50,50,50,50,47,47,
case_14305,903341-24,91,91,90,90,90,90,
case_14385,CV-761511-19/KI,2,2,2,2,0,0,
case_14420,LT-305330-20/KI,5,5,5,5,0,0,
case_14421,LT-306183-23/KI,2,2,2,2,0,0,
case_14422,LT-307026-21/KI,3,3,3,3,0,0,
case_14423,LT-314002-22/KI,54,54,54,54,0,0,
case_14424,LT-315991-26/KI,4,4,4,4,0,0,
case_14425,LT-316292-24/KI,7,7,7,7,0,0,
case_14426,LT-316306-24/KI,20,20,20,20,4,4,
case_14427,LT-316758-22/KI,7,7,7,7,1,1,
case_14428,LT-317921-23/KI,6,6,6,6,1,1,
case_14429,LT-323637-25/KI,6,6,6,6,2,2,
case_15195,814620/2024,57,59,59,59,59,59,
case_15307,E184256/2024,177,178,178,178,178,178,
case_15343,814641/2017,702,702,702,702,682,682,
case_15362,154214/2022,88,88,87,87,86,86,
case_15380,608590/2022,180,180,179,179,178,178,
case_15381,609628/2021,92,92,92,92,90,90,
case_15385,615379/2023,209,209,208,208,206,206,
case_15390,654006/2021,81,81,81,81,80,80,
case_15395,CV-230374-21/KI,1,1,1,1,0,0,
case_15396,CV-700084-22/KI,4,4,4,4,0,0,
case_15397,CV-700126-22/KI,2,2,2,2,0,0,
case_15398,CV-700130-22/KI,22,22,22,22,0,0,
case_15399,CV-700135-22/KI,16,16,16,16,0,0,
case_15400,CV-700136-22/KI,25,25,25,25,0,0,
case_15401,CV-700141-22/KI,28,28,28,28,0,0,
case_15402,CV-700142-22/KI,20,20,20,20,0,0,
case_15403,CV-700143-22/KI,22,22,22,22,0,0,
case_15404,CV-700144-22/KI,23,23,23,23,4,4,
case_15405,CV-700307-23/KI,36,36,36,36,1,1,
case_15406,CV-700940-21/KI,1,1,1,1,0,0,
case_15407,CV-700941-21/KI,11,11,11,11,0,0,
case_15408,CV-700942-21/KI,19,19,19,19,0,0,
case_15409,CV-700943-21/KI,1,1,1,1,0,0,
case_15410,CV-700944-21/KI,1,1,1,1,0,0,
case_15411,CV-700945-21/KI,1,1,1,1,0,0,
case_15412,CV-700946-21/KI,1,1,1,1,0,0,
case_15413,CV-700947-21/KI,1,1,1,1,0,0,
case_15414,CV-700948-21/KI,1,1,1,1,0,0,
case_15415,CV-700949-21/KI,1,1,1,1,0,0,
case_15417,CV-700951-21/KI,1,1,1,1,0,0,
case_15418,CV-700952-21/KI,1,1,1,1,0,0,
case_15419,CV-700953-21/KI,1,1,1,1,0,0,
case_15421,CV-700955-21/KI,1,1,1,1,0,0,
case_15423,CV-700957-21/KI,1,1,1,1,0,0,
case_15424,CV-700958-21/KI,3,3,3,3,1,1,
case_15425,CV-700959-21/KI,1,1,1,1,0,0,
case_15426,CV-700960-21/KI,1,1,1,1,0,0,
case_15435,CV-700971-21/KI,15,15,15,15,14,14,
case_15436,CV-700972-21/KI,20,20,20,20,16,16,
case_15441,CV-700977-21/KI,1,1,1,1,0,0,
case_15454,CV-700990-21/KI,2,2,2,2,1,1,
case_15455,CV-700991-21/KI,2,2,2,2,1,1,
case_15457,CV-700993-21/KI,3,3,3,3,1,1,
case_15458,CV-700994-21/KI,1,1,1,1,0,0,
case_15459,CV-700995-21/KI,1,1,1,1,0,0,
case_15461,CV-700997-21/KI,1,1,1,1,0,0,
case_15462,CV-700999-21/KI,1,1,1,1,0,0,
case_15463,CV-701000-21/KI,1,1,1,1,0,0,
case_15464,CV-701003-21/KI,1,1,1,1,0,0,
case_15465,CV-701004-21/KI,1,1,1,1,0,0,
case_15466,CV-701013-21/KI,1,1,1,1,0,0,
case_15467,CV-701014-21/KI,1,1,1,1,0,0,
case_15468,CV-701015-21/KI,1,1,1,1,0,0,
case_15469,CV-701016-21/KI,1,1,1,1,0,0,
case_15470,CV-701017-21/KI,1,1,1,1,0,0,
case_15471,CV-701018-21/KI,1,1,1,1,0,0,
case_15472,CV-701019-21/KI,1,1,1,1,0,0,
case_15473,CV-701051-21/KI,2,2,2,2,0,0,
case_15474,CV-701055-21/KI,2,2,2,2,0,0,
case_15475,CV-701056-21/KI,2,2,2,2,0,0,
case_15476,CV-701058-21/KI,11,11,11,11,0,0,
case_15477,CV-701059-21/KI,2,2,2,2,0,0,
case_15478,CV-701060-21/KI,3,3,3,3,0,0,
case_15479,CV-701061-21/KI,5,5,5,5,0,0,
case_15480,CV-701062-21/KI,2,2,2,2,0,0,
case_15481,CV-701063-21/KI,2,2,2,2,0,0,
case_15482,CV-701329-21/KI,2,2,2,2,0,0,
case_15483,CV-701330-21/KI,2,2,2,2,0,0,
case_15484,CV-701331-21/KI,1,1,1,1,0,0,
case_15485,CV-701332-21/KI,1,1,1,1,0,0,
case_15486,CV-701335-21/KI,1,1,1,1,0,0,
case_15487,CV-701336-21/KI,2,2,2,2,0,0,
case_15488,CV-701337-21/KI,2,2,2,2,0,0,
case_15489,CV-701339-21/KI,2,2,2,2,0,0,
case_15490,CV-703109-21/BX,1,1,1,1,0,0,
case_15491,CV-703128-21/BX,22,22,22,22,0,0,
case_15492,CV-703141-21/BX,1,1,1,1,0,0,
case_15493,CV-703142-21/BX,1,1,1,1,0,0,
case_15494,CV-703151-21/BX,1,1,1,1,0,0,
case_15495,CV-704042-21/KI,3,3,3,3,0,0,
case_15496,CV-704043-21/KI,3,3,3,3,0,0,
case_15497,CV-704044-21/KI,2,2,2,2,0,0,
case_15498,CV-704045-21/KI,2,2,2,2,0,0,
case_15499,CV-704048-21/KI,1,1,1,1,0,0,
case_15500,CV-704049-21/KI,1,1,1,1,0,0,
case_15501,CV-704050-21/KI,1,1,1,1,0,0,
case_15502,CV-704051-21/KI,1,1,1,1,0,0,
