case_id,pdf_path,docling_json_path,page_count,empty_pages,num_empty_pages
case_10811,data/cases/ny_classification/case_10811/documents/document_orGlM8BYzkzmEtCU4i4HDQ==.pdf,data/extraction/ny_classification/case_10811/docling/documents/document_orGlM8BYzkzmEtCU4i4HDQ==.docling.json,50,50,1
case_10825,data/cases/ny_classification/case_10825/documents/document_ISD3BaICjpL_PLUS_PyqCz_PLUS_XEjw==.pdf,data/extraction/ny_classification/case_10825/docling/documents/document_ISD3BaICjpL_PLUS_PyqCz_PLUS_XEjw==.docling.json,71,70;71,2
case_10842,data/cases/ny_classification/case_10842/documents/document_59_kNg5ZH5Wm8EikLmpLYg==.pdf,data/extraction/ny_classification/case_10842/docling/documents/document_59_kNg5ZH5Wm8EikLmpLYg==.docling.json,68,61,1
case_10842,data/cases/ny_classification/case_10842/documents/document_BGRBV4YOik_d1Bfc_PLUS_PunHw==.pdf,data/extraction/ny_classification/case_10842/docling/documents/document_BGRBV4YOik_d1Bfc_PLUS_PunHw==.docling.json,3,2,1
case_10842,data/cases/ny_classification/case_10842/documents/document_Bg3a5GRgqWiZVlnvgidefw==.pdf,data/extraction/ny_classification/case_10842/docling/documents/document_Bg3a5GRgqWiZVlnvgidefw==.docling.json,7,2,1
case_10842,data/cases/ny_classification/case_10842/documents/document_SCpAAbuCc5IHszyo7CfxzQ==.pdf,data/extraction/ny_classification/case_10842/docling/documents/document_SCpAAbuCc5IHszyo7CfxzQ==.docling.json,3,2,1
case_10842,data/cases/ny_classification/case_10842/documents/document_xbFCl7Db1jy4TIawSPSMIg==.pdf,data/extraction/ny_classification/case_10842/docling/documents/document_xbFCl7Db1jy4TIawSPSMIg==.docling.json,63,58,1
case_10886,data/cases/ny_classification/case_10886/documents/document_U_8SoFdSabFuDLCopW_PLUS_ftg==.pdf,data/extraction/ny_classification/case_10886/docling/documents/document_U_8SoFdSabFuDLCopW_PLUS_ftg==.docling.json,68,61,1
case_10886,data/cases/ny_classification/case_10886/documents/document_Z_pPdQKGY79_4qkmDRCjlQ==.pdf,data/extraction/ny_classification/case_10886/docling/documents/document_Z_pPdQKGY79_4qkmDRCjlQ==.docling.json,63,58,1
case_10891,data/cases/ny_classification/case_10891/documents/document_NyS98_PLUS_W3rYJG5EhXZmwS_PLUS_w==.pdf,data/extraction/ny_classification/case_10891/docling/documents/document_NyS98_PLUS_W3rYJG5EhXZmwS_PLUS_w==.docling.json,71,70;71,2
